Year,W,L-T,Total,Ratio,MA_10Y
2016,9,4,13,0.692307692,0.33974359
2015,7,6,13,0.538461538,0.316666667
2014,4,8,12,0.333333333,0.317365967
2013,3,9,12,0.25,0.342365967
2012,4,9,13,0.307692308,0.378904429
2011,1,11,12,0.083333333,0.398135198
2010,1,11,12,0.083333333,0.444347319
2009,1,11,12,0.083333333,0.477680653
2008,4,8,12,0.333333333,0.505710956
2007,9,4,13,0.692307692,0.497377622
2006,6,7,13,0.461538462,0.497377622
2005,6,5,11,0.545454545,0.505769231
2004,7,5,12,0.583333333,0.487587413
2003,8,5,13,0.615384615,0.470920746
2002,7,7,14,0.5,0.463927739
2001,6,5,11,0.545454545,0.441200466
2000,5,7,12,0.416666667,0.411655012
1999,4,7,11,0.363636364,0.386655012
1998,3,9,12,0.25,0.366958042
1997,9,4,13,0.692307692,0.358624709
1996,6,5,11,0.545454545,0.289393939
1995,4,7,11,0.363636364,0.268181818
1994,5,7,12,0.416666667,0.259090909
1993,6,5,11,0.545454545,0.250757576
1992,3,8,11,0.272727273,0.246212121
1991,3,9,12,0.25,0.309848485
1990,2,10,12,0.166666667,0.318181818
1989,2,10,12,0.166666667,0.337878788
1988,2,10,12,0.166666667,0.371212121
1987,0,11,11,0,0.412878788
1986,4,8,12,0.333333333,0.454545455
1985,3,8,11,0.272727273,0.457575758
1984,4,8,12,0.333333333,0.484848485
1983,6,6,12,0.5,0.487878788
1982,10,1,11,0.909090909,0.474242424
1981,4,8,12,0.333333333,0.410606061
1980,4,7,11,0.363636364,0.431818182
1979,6,6,12,0.5,0.465454545
1978,7,5,12,0.583333333,0.455454545
1977,5,7,12,0.416666667,0.397121212
1976,4,7,11,0.363636364,0.365454545
1975,6,5,11,0.545454545,0.349090909
1974,4,7,11,0.363636364,0.324545455
1973,4,7,11,0.363636364,0.37
1972,3,8,11,0.272727273,0.393636364
1971,6,5,11,0.545454545,0.436363636
1970,7,3,10,0.7,0.445454545
1969,4,6,10,0.4,0.425454545
1968,0,10,10,0,0.455454545
1967,1,9,10,0.1,0.525454545
1966,2,8,10,0.2,0.555454545
1965,3,7,10,0.3,0.575454545
1964,9,2,11,0.818181818,0.565454545
1963,6,4,10,0.6,0.533636364
1962,7,3,10,0.7,0.529191919
1961,7,4,11,0.636363636,0.536969697
1960,5,5,10,0.5,0.50969697
1959,7,3,10,0.7,0.47969697
1958,7,3,10,0.7,
1957,4,6,10,0.4,
1956,4,6,10,0.4,
1955,2,8,10,0.2,
1954,5,5,10,0.5,
1953,5,4,9,0.555555556,
1952,7,2,9,0.777777778,
1951,4,7,11,0.363636364,
1950,2,8,10,0.2,
1949,2,8,10,0.2,
1948,2,9,11,0.181818182,
1947,4,6,10,0.4,
1946,5,7,12,0.416666667,
1945,6,2,8,0.75,
1944,1,7,8,0.125,
